"TOA5","CR800Series-Arvids4","CR800","38897","CR800.Std.29","CPU:Arvids4_GPSProbe_Jan_16_2022.CR8","7253","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds","ThisUTCtime"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-04-17 18:00:34.1",16348,100001,6.814,12.78,72,47.2109,-77,-55.0965,1,12,0.6,9,0.358,72.78685,-77.91827,4,17,18,0,33,420000,180024
"2024-04-17 18:00:56.15",16349,100002,63.49,12.76,72,47.2108,-77,-55.0971,1,12,0.6,9.5,4.101,72.78685,-77.91828,4,17,18,0,55,470000,180046
"2024-04-17 18:01:01.21",16350,100003,102.5,12.79,72,47.2108,-77,-55.0973,1,12,0.6,9.6,6.678,72.78685,-77.91829,4,17,18,1,0,530000,180051
"2024-04-17 18:01:51.26",16351,100004,2.063,12.9,72,47.2155,-77,-55.102,1,12,0.6,10.8,0.044,72.78693,-77.91837,4,17,18,1,50,580000,180141
"2024-04-17 18:02:19.01",16352,100005,12.89,12.79,72,47.2175,-77,-55.1018,1,12,0.6,10.3,0.759,72.78696,-77.91837,4,17,18,2,18,330000,180209
"2024-04-17 18:02:21.76",16353,100006,17.53,12.76,72,47.2175,-77,-55.1017,1,12,0.6,10.2,1.066,72.78696,-77.91837,4,17,18,2,21,80000,180212
"2024-04-17 18:04:55.12",16354,100007,1.51,12.68,72,47.2158,-77,-55.0994,1,12,0.5,11,0.007,72.78693,-77.91832,4,17,18,4,54,440000,180445
"2024-04-17 18:05:09.81",16355,100008,16.98,12.66,72,47.218,-77,-55.1021,1,12,0.5,11.2,1.029,72.78696,-77.91837,4,17,18,5,9,130000,180500
"2024-04-17 18:05:18.65",16356,100009,4.825,12.67,72,47.2197,-77,-55.1028,1,12,0.5,11,0.226,72.78699,-77.91838,4,17,18,5,17,970000,180509
